================================================================================
Model 1: vision_transformer_qkv_fusion
================================================================================


Model Overall Times:
--------------------------------------------------
  Overall Times:
    Start: 0.00 μs
    End: 61306.69 μs
    Duration: 61306.69 μs

Input Start/End Times:
--------------------------------------------------
  Input Times Table:

  +-------+--------------------+--------------------+
  | Input | Start (μs)         | End (μs)           |
  +-------+--------------------+--------------------+
  | 0     | 0.00               | 18581.45           |
  | 1     | 18581.45           | 23328.69           |
  | 2     | 23328.69           | 28075.94           |
  | 3     | 28075.94           | 32823.19           |
  | 4     | 32823.19           | 37570.44           |
  | 5     | 37570.44           | 42317.69           |
  | 6     | 42317.69           | 47064.94           |
  | 7     | 47064.94           | 51812.19           |
  | 8     | 51812.19           | 56559.44           |
  | 9     | 56559.44           | 61306.69           |
  +-------+--------------------+--------------------+

Summed Time Per Input:
--------------------------------------------------
  Summed Time Table:

  +-------+-------------------+-------------------------------+---------------------+-------------------+
  | Input | Compute (μs)      | Activation Communication (μs) | Weight Loading (μs) | Total (μs)        |
  +-------+-------------------+-------------------------------+---------------------+-------------------+
  | 0     | 210.32            | 4536.93                       | 13834.20            | 18581.45          |
  | 1     | 210.32            | 4536.93                       | 0.00                | 4747.25           |
  | 2     | 210.32            | 4536.93                       | 0.00                | 4747.25           |
  | 3     | 210.32            | 4536.93                       | 0.00                | 4747.25           |
  | 4     | 210.32            | 4536.93                       | 0.00                | 4747.25           |
  | 5     | 210.32            | 4536.93                       | 0.00                | 4747.25           |
  | 3     | 10    | 1.84                 | 44.12                        |
  | 3     | 11    | 5.51                 | 320.45                       |
  | 3     | 12    | 5.51                 | 45.17                        |
  | 3     | 13    | 4.59                 | -1                           |
  | 3     | 14    | 0.46                 | -1                           |
  | 3     | 15    | 0.46                 | 47.28                        |
  | 3     | 16    | 1.84                 | 46.49                        |
  | 3     | 17    | 4.59                 | 174.41                       |
  | 3     | 18    | 5.51                 | 47.28                        |
  | 3     | 19    | 4.59                 | 15.76                        |
  | 3     | 20    | 0.46                 | -1                           |
  | 3     | 21    | 0.46                 | 47.28                        |
  | 3     | 22    | 1.84                 | 42.02                        |
  | 3     | 23    | 5.51                 | 177.56                       |
  | 3     | 24    | 5.51                 | 47.28                        |
  | 3     | 25    | 4.59                 | 15.76                        |
  | 3     | 26    | 0.46                 | -1                           |
  | 3     | 27    | 0.46                 | 47.28                        |
  | 3     | 28    | 1.84                 | 44.12                        |
  | 3     | 29    | 5.51                 | 177.56                       |
  | 3     | 30    | 5.51                 | 47.28                        |
  | 3     | 31    | 4.59                 | 15.76                        |
  | 3     | 32    | 0.46                 | -1                           |
  | 3     | 33    | 0.46                 | 47.28                        |
  | 3     | 34    | 1.84                 | 44.12                        |
  | 3     | 35    | 5.51                 | 177.56                       |
  | 3     | 36    | 5.51                 | 47.28                        |
  | 3     | 37    | 4.59                 | 137.90                       |
  | 3     | 38    | 0.46                 | 12.12                        |
  | 3     | 39    | 0.46                 | 28.89                        |
  | 3     | 40    | 1.84                 | 47.28                        |
  | 3     | 41    | 2.75                 | 204.88                       |
  | 3     | 42    | 2.75                 | 39.40                        |
  | 3     | 43    | 4.59                 | -1                           |
  | 3     | 44    | 0.46                 | -1                           |
  | 3     | 45    | 0.46                 | 47.28                        |
  | 3     | 46    | 1.84                 | 45.96                        |
  | 3     | 47    | 4.59                 | 309.59                       |
  | 3     | 48    | 5.51                 | 44.39                        |
  | 3     | 49    | 4.59                 | -1                           |
  | 3     | 50    | 0.46                 | -1                           |
  | 3     | 51    | 0.46                 | 47.28                        |
  | 3     | 52    | 1.84                 | 46.49                        |
  | 3     | 53    | 4.59                 | 312.04                       |
  | 3     | 54    | 5.51                 | 45.17                        |
  | 3     | 55    | 4.59                 | -1                           |
  | 3     | 56    | 0.46                 | -1                           |
  | 3     | 57    | 0.46                 | 47.28                        |
  | 3     | 58    | 1.84                 | 46.49                        |
  | 3     | 59    | 4.59                 | 174.41                       |
  | 3     | 60    | 5.51                 | 47.28                        |
  | 3     | 61    | 4.59                 | 15.76                        |
  | 3     | 62    | 0.46                 | -1                           |
  | 3     | 63    | 0.46                 | 47.28                        |
  | 3     | 64    | 1.84                 | 44.12                        |
  | 3     | 65    | 5.51                 | 177.56                       |
  | 3     | 66    | 5.51                 | 47.28                        |
  | 3     | 67    | 4.59                 | 15.76                        |
  | 3     | 68    | 0.46                 | -1                           |
  | 3     | 69    | 0.46                 | 47.28                        |
  | 3     | 70    | 1.84                 | 44.12                        |
  | 3     | 71    | 5.51                 | 177.56                       |
  | 3     | 72    | 5.51                 | 47.28                        |
  | 3     | 73    | 0.01                 | -1                           |
  | 4     | 0     | 1.83                 | -1                           |
  | 4     | 1     | 4.59                 | 141.84                       |
  | 4     | 2     | 0.46                 | 12.12                        |
  | 4     | 3     | 0.46                 | 2.62                         |
  | 4     | 4     | 1.84                 | 47.28                        |
  | 4     | 5     | 2.75                 | 155.49                       |
  | 4     | 6     | 5.51                 | 47.28                        |
  | 4     | 7     | 4.59                 | 15.76                        |
  | 4     | 8     | 0.46                 | -1                           |
  | 4     | 9     | 0.46                 | 47.28                        |
  | 4     | 10    | 1.84                 | 44.12                        |
  | 4     | 11    | 5.51                 | 320.45                       |
  | 4     | 12    | 5.51                 | 45.17                        |
  | 4     | 13    | 4.59                 | -1                           |
  | 4     | 14    | 0.46                 | -1                           |
  | 4     | 15    | 0.46                 | 47.28                        |
  | 4     | 16    | 1.84                 | 46.49                        |
  | 4     | 17    | 4.59                 | 174.41                       |
  | 4     | 18    | 5.51                 | 47.28                        |
  | 4     | 19    | 4.59                 | 15.76                        |
  | 4     | 20    | 0.46                 | -1                           |
  | 4     | 21    | 0.46                 | 47.28                        |
